date,cash,realized_pnl,open_pnl,total_pnl,portfolio_value,concurrent_positions,peak_value,drawdown,drawdown_pct
2019-10-25,1000000,2032226.149,84152.1837956131,2116378.332795613,3116378.332795613,199,3146063.7857190887,-29685.452923475765,-0.9435744137873743
2019-11-01,1000000,2033031.713,93804.24669640441,2126835.9596964046,3126835.9596964046,236,3146063.7857190887,-19227.82602268411,-0.6111708894767132
2019-11-08,1000000,2000958.115,139519.7999124964,2140477.914912496,3140477.914912496,264,3146063.7857190887,-5585.870806592517,-0.17755109835815888
2019-11-15,1000000,2001705.043,160042.23878698263,2161747.281786983,3161747.281786983,275,3161747.281786983,0.0,0.0
2019-11-22,1000000,1997409.299,189774.6322463827,2187183.9312463826,3187183.9312463826,273,3187183.9312463826,0.0,0.0
2019-11-29,1000000,2015581.006,204709.15017343053,2220290.1561734304,3220290.1561734304,280,3220290.1561734304,0.0,0.0
2019-12-06,1000000,2013772.267,243513.55604827256,2257285.8230482726,3257285.8230482726,273,3257285.8230482726,0.0,0.0
2019-12-13,1000000,2019100.3650000002,281796.4604601482,2300896.8254601485,3300896.8254601485,269,3300896.8254601485,0.0,0.0
2019-12-20,1000000,2028263.102,317325.7676617213,2345588.8696617214,3345588.8696617214,285,3345588.8696617214,0.0,0.0
2019-12-27,1000000,2050684.724,336963.663420659,2387648.387420659,3387648.387420659,300,3387648.387420659,0.0,0.0
2020-01-03,1000000,2075873.4589999998,350916.60267823515,2426790.061678235,3426790.061678235,301,3426790.061678235,0.0,0.0
2020-01-10,1000000,2110374.5340000005,356047.22672555095,2466421.7607255513,3466421.7607255513,279,3466421.7607255513,0.0,0.0
2020-01-17,1000000,2136516.9979999997,365392.1680388483,2501909.166038848,3501909.166038848,268,3501909.166038848,0.0,0.0
2020-01-24,1000000,2183587.018,345599.5666327138,2529186.584632714,3529186.584632714,285,3529186.584632714,0.0,0.0
2020-01-31,1000000,2200481.7120000003,353845.6791703298,2554327.3911703303,3554327.3911703303,225,3554327.3911703303,0.0,0.0
2020-02-07,1000000,2233573.3770000003,350600.8559652292,2584174.2329652295,3584174.2329652295,189,3584174.2329652295,0.0,0.0
2020-02-14,1000000,2252244.2410000004,357318.2409247331,2609562.4819247336,3609562.4819247336,194,3609562.4819247336,0.0,0.0
2020-02-21,1000000,2288994.3030000003,327237.8719609824,2616232.1749609825,3616232.1749609825,218,3616232.1749609825,0.0,0.0
2020-02-28,1000000,2550336.74,54247.860331888645,2604584.600331889,3604584.600331889,65,3616232.1749609825,-11647.57462909352,-0.3220914494855185
2020-03-06,1000000,2545841.358,58558.22464997692,2604399.582649977,3604399.582649977,60,3616232.1749609825,-11832.592311005574,-0.3272077604124863
2020-03-13,1000000,2538413.316,62009.64290972504,2600422.9589097253,3600422.9589097253,41,3616232.1749609825,-15809.216051257215,-0.43717370142108725
2020-03-20,1000000,2511483.166,96372.82924379759,2607855.995243798,3607855.995243798,25,3616232.1749609825,-8376.17971718451,-0.23162726594773703
2020-03-27,1000000,2505483.2260000003,115708.89954261713,2621192.1255426174,3621192.1255426174,27,3621192.1255426174,0.0,0.0
2020-04-03,1000000,2504063.386,130488.2636447968,2634551.6496447967,3634551.6496447967,33,3634551.6496447967,0.0,0.0
2020-04-10,1000000,2500550.286,157779.47127357416,2658329.757273574,3658329.757273574,85,3658329.757273574,0.0,0.0
2020-04-17,1000000,2526085.803,194777.4102189996,2720863.2132189996,3720863.2132189996,305,3720863.2132189996,0.0,0.0
2020-04-24,1000000,2582878.166,257784.045595199,2840662.211595199,3840662.211595199,275,3840662.211595199,0.0,0.0
2020-05-01,1000000,2607621.664,322925.84861484356,2930547.5126148434,3930547.5126148434,341,3930547.5126148434,0.0,0.0
2020-05-08,1000000,2613416.068,406428.19099260715,3019844.2589926072,4019844.2589926072,377,4019844.2589926072,0.0,0.0
2020-05-15,1000000,2575954.704,540017.0367223411,3115971.740722341,4115971.740722341,378,4115971.740722341,0.0,0.0
2020-05-22,1000000,2584679.851,634925.7248209865,3219605.575820986,4219605.575820986,391,4219605.575820986,0.0,0.0
2020-05-29,1000000,2583377.6110000005,741897.3077048857,3325274.918704886,4325274.918704886,396,4325274.918704886,0.0,0.0
2020-06-05,1000000,2597318.357,835540.7637672658,3432859.1207672656,4432859.120767266,409,4432859.120767266,0.0,0.0
2020-06-12,1000000,2645392.387,888718.371600864,3534110.758600864,4534110.758600865,395,4534110.758600865,0.0,0.0
2020-06-19,1000000,2658618.882,976402.7441084863,3635021.6261084867,4635021.626108486,342,4635021.626108486,0.0,0.0
2020-06-26,1000000,2654122.2649999997,1080436.6073481909,3734558.8723481903,4734558.87234819,328,4734558.87234819,0.0,0.0
2020-07-03,1000000,2731983.602,1100121.9075742357,3832105.5095742354,4832105.509574235,266,4832105.509574235,0.0,0.0
2020-07-10,1000000,2763940.696,1164475.4871945507,3928416.1831945507,4928416.183194551,266,4928416.183194551,0.0,0.0
2020-07-17,1000000,2794920.8030000003,1228831.2690192624,4023752.0720192627,5023752.072019262,271,5023752.072019262,0.0,0.0
2020-07-24,1000000,2806382.4400000004,1312822.1789203,4119204.6189203,5119204.6189203,289,5119204.6189203,0.0,0.0
2020-07-31,1000000,2929022.369,1281086.5920349138,4210108.961034914,5210108.961034914,283,5210108.961034914,0.0,0.0
2020-08-07,1000000,3137941.243,1157325.7645135792,4295267.007513579,5295267.007513579,312,5295267.007513579,0.0,0.0
2020-08-14,1000000,3361534.853,1004302.8408797968,4365837.693879797,5365837.693879797,312,5365837.693879797,0.0,0.0
2020-08-21,1000000,3363977.6090000006,1061392.9536447988,4425370.562644799,5425370.562644799,320,5425370.562644799,0.0,0.0
2020-08-28,1000000,3811746.3270000005,671815.8743780013,4483562.201378002,5483562.201378002,291,5483562.201378002,0.0,0.0
2020-09-04,1000000,3848612.1760000004,682670.3114655586,4531282.487465559,5531282.487465559,285,5531282.487465559,0.0,0.0
2020-09-11,1000000,4021782.782,557036.2793812181,4578819.061381218,5578819.061381218,177,5578819.061381218,0.0,0.0
2020-09-18,1000000,4041722.7030000007,583714.4018458216,4625437.104845822,5625437.104845822,170,5625437.104845822,0.0,0.0
2020-09-25,1000000,4187390.774,480599.24392723135,4667990.017927231,5667990.017927231,134,5667990.017927231,0.0,0.0
2020-10-02,1000000,4259123.201,445028.662363315,4704151.863363315,5704151.863363315,144,5704151.863363315,0.0,0.0
2020-10-09,1000000,4272483.759000001,473689.59617018857,4746173.355170189,5746173.355170189,253,5746173.355170189,0.0,0.0
2020-10-16,1000000,4271313.28,514348.57385632535,4785661.853856325,5785661.853856325,330,5785661.853856325,0.0,0.0
2020-10-23,1000000,4266083.121,557671.3265794715,4823754.447579471,5823754.447579471,341,5823754.447579471,0.0,0.0
2020-10-30,1000000,4449390.1850000005,416215.31120185275,4865605.496201853,5865605.496201853,243,5865605.496201853,0.0,0.0
2020-11-06,1000000,4474629.271,444713.5514855832,4919342.822485583,5919342.822485583,227,5919342.822485583,0.0,0.0
2020-11-13,1000000,4545606.558,439417.9698021114,4985024.527802112,5985024.527802112,242,5985024.527802112,0.0,0.0
2020-11-20,1000000,4579669.768,490021.124779229,5069690.892779229,6069690.892779229,302,6069690.892779229,0.0,0.0
