symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct
AXGN,2022-10-01,2022-12-01,11.68,10.4,856,-1095.6799999999994,-10.95890410958904
STAA,2022-11-01,2022-12-01,71.46,56.54,139,-2073.879999999999,-20.878813322138257
IESC,2022-11-01,2022-12-01,34.07,33.35,293,-210.95999999999967,-2.113296154975053
NTRA,2022-11-01,2022-12-01,47.24,38.9,211,-1759.7400000000007,-17.65453005927181
DVAX,2022-11-01,2022-12-01,11.64,12.2,859,481.0399999999989,4.810996563573866
CLNE,2022-11-01,2022-12-01,7.15,6.11,1398,-1453.92,-14.54545454545455
AVXL,2022-11-01,2022-12-01,12.27,8.58,814,-3003.6599999999994,-30.073349633251834
STKL,2022-06-01,2023-01-01,7.7,8.45,1298,973.4999999999989,9.740259740259738
GSAT,2022-07-01,2023-01-01,19.33,18.37,517,-496.31999999999863,-4.966373512674583
VSA,2022-07-01,2023-01-01,5.85,4.71,1709,-1948.2599999999995,-19.487179487179485
OLLI,2022-07-01,2023-01-01,62.21,44.87,160,-2774.4000000000005,-27.873332261694262
PCTY,2022-09-01,2023-01-01,234.5,188.46,42,-1933.6799999999996,-19.633262260127925
PGEN,2022-11-01,2023-01-01,1.61,1.34,6211,-1676.97,-16.770186335403725
CRMD,2022-12-01,2023-01-01,4.27,3.96,2341,-725.7099999999991,-7.259953161592502
IDN,2022-12-01,2023-01-01,2.3,2.01,4347,-1260.63,-12.608695652173918
WIX,2022-12-01,2023-01-01,87.02,73.48,114,-1543.559999999999,-15.559641461732932
ARLP,2021-07-01,2023-02-01,7.12,22.17,1404,21130.2,211.37640449438203
LPLA,2022-02-01,2023-02-01,164.84,234.31,60,4168.2,42.14389711235136
SNEX,2022-06-01,2023-02-01,33.21,38.23,301,1511.0199999999988,15.115928937067146
ENPH,2022-07-01,2023-02-01,199.09,209.25,50,507.99999999999983,5.103219649404789
CLFD,2022-08-01,2023-02-01,91.52,68.67,109,-2490.649999999999,-24.96722027972027
NSSC,2022-08-01,2023-02-01,26.17,29.43,382,1245.3199999999993,12.457011845624756
DGII,2022-08-01,2023-02-01,28.94,33.47,345,1562.8499999999992,15.653075328265365
COMM,2022-09-01,2023-02-01,10.97,8.04,911,-2669.2300000000014,-26.70920692798543
IBRX,2022-11-01,2023-02-01,5.58,3.82,1792,-3153.9200000000005,-31.54121863799284
ON,2022-11-01,2023-02-01,65.9,75.65,151,1472.25,14.795144157814866
PRDO,2022-12-01,2023-02-01,14.33,14.61,697,195.15999999999954,1.9539427773900941
PODD,2022-12-01,2023-02-01,296.29,284.24,33,-397.6500000000004,-4.0669614229302375
FBNC,2022-12-01,2023-02-01,48.85,38.63,204,-2084.8799999999997,-20.921187308085976
VNOM,2023-01-01,2023-02-01,31.72,31.78,315,18.900000000000716,0.1891551071879105
ENSG,2023-01-01,2023-02-01,95.21,91.23,105,-417.89999999999895,-4.1802331687847865
NBIX,2022-06-01,2023-03-01,92.33,101.87,108,1030.3200000000006,10.332502978446879
UTHR,2022-06-01,2023-03-01,237.08,245.76,42,364.5599999999991,3.6612114054327627
ONCY,2022-12-01,2023-03-01,1.7,1.57,5882,-764.6599999999994,-7.647058823529407
MTRX,2023-01-01,2023-03-01,6.5,6.1,1538,-615.2000000000005,-6.153846153846154
SFM,2023-01-01,2023-03-01,32.65,30.65,306,-612.0,-6.125574272588052
AAOI,2023-02-01,2023-03-01,2.35,2.79,4255,1872.1999999999998,18.723404255319153
RIGL,2023-02-01,2023-03-01,17.71,15.16,564,-1438.2000000000005,-14.398644833427444
ISSC,2022-10-01,2023-04-01,9.15,7.42,1092,-1889.1600000000005,-18.907103825136616
PRTA,2022-10-01,2023-04-01,50.71,47.95,197,-543.7199999999996,-5.442713468743832
FLEX,2022-11-01,2023-04-01,14.87,16.75,672,1263.3600000000006,12.642905178211162
ASND,2022-11-01,2023-04-01,109.59,107.84,91,-159.25,-1.5968610274660122
BBSI,2022-11-01,2023-04-01,21.71,21.99,460,128.79999999999887,1.2897282358360185
IBKR,2022-11-01,2023-04-01,20.52,20.33,487,-92.53000000000063,-0.92592592592593
ALNT,2022-11-01,2023-04-01,34.18,37.7,292,1027.8400000000008,10.298420128730257
CLDX,2022-12-01,2023-04-01,34.53,33.54,289,-286.1100000000006,-2.867072111207647
XNET,2022-12-01,2023-04-01,1.8,1.78,5555,-111.1000000000001,-1.1111111111111072
MTSI,2023-01-01,2023-04-01,61.21,69.85,163,1408.319999999999,14.115340630615902
OCC,2023-01-01,2023-04-01,4.59,4.22,2178,-805.8600000000002,-8.061002178649234
MMSI,2023-01-01,2023-04-01,69.5,73.55,143,579.1499999999996,5.827338129496407
LRMR,2023-01-01,2023-04-01,4.31,3.99,2320,-742.3999999999986,-7.42459396751739
CRESY,2023-01-01,2023-04-01,6.49,6.03,1540,-708.4,-7.0878274268104775
VSEC,2023-02-01,2023-04-01,54.43,45.29,183,-1672.6200000000001,-16.792210178210542
LOCO,2023-02-01,2023-04-01,12.14,9.63,823,-2065.73,-20.67545304777595
WIX,2023-02-01,2023-04-01,89.01,98.07,112,1014.7199999999987,10.178631614425338
SVRA,2023-02-01,2023-04-01,2.77,1.95,3610,-2960.2000000000003,-29.602888086642597
CASH,2023-02-01,2023-04-01,49.4,40.72,202,-1753.36,-17.570850202429146
BJRI,2023-02-01,2023-04-01,31.4,29.05,318,-747.2999999999993,-7.484076433121012
FRPT,2023-03-01,2023-04-01,62.77,66.39,159,575.5799999999996,5.767086187669257
CAR,2023-03-01,2023-04-01,211.87,174.59,47,-1752.16,-17.595695473639495
CECO,2022-08-01,2023-05-01,8.06,11.33,1240,4054.7999999999993,40.57071960297767
EXTR,2022-09-01,2023-05-01,14.6,16.12,684,1039.680000000001,10.410958904109592
STLD,2022-11-01,2023-05-01,100.28,104.96,99,463.31999999999925,4.666932588751482
DXCM,2022-11-01,2023-05-01,114.15,124.23,87,876.9599999999998,8.830486202365307
NFLX,2022-11-01,2023-05-01,30.77,32.22,324,469.7999999999998,4.71238219044523
AMKR,2022-12-01,2023-05-01,27.41,21.56,364,-2129.4000000000005,-21.34257570229844
DMRC,2022-12-01,2023-05-01,21.62,16.71,462,-2268.42,-22.7104532839963
CENX,2023-02-01,2023-05-01,11.29,8.28,885,-2663.85,-26.660761736049597
HIMX,2023-04-01,2023-05-01,8.03,6.45,1245,-1967.099999999999,-19.676214196762132
AGYS,2022-07-01,2023-06-01,47.1,70.89,212,5043.48,50.50955414012739
FSLR,2022-08-01,2023-06-01,90.95,197.47,109,11610.68,117.1192963166575
ATXS,2022-09-01,2023-06-01,9.1,11.27,1098,2382.66,23.84615384615385
AXON,2022-11-01,2023-06-01,146.9,191.62,68,3040.96,30.44247787610619
AAON,2022-11-01,2023-06-01,43.46,58.08,230,3362.5999999999995,33.640128854118736
TOUR,2022-12-01,2023-06-01,1.02,1.18,9803,1568.479999999999,15.68627450980391
LYTS,2022-12-01,2023-06-01,11.84,11.81,844,-25.31999999999946,-0.2533783783783772
MGNX,2022-12-01,2023-06-01,6.43,4.55,1555,-2923.3999999999996,-29.237947122861584
LSCC,2022-12-01,2023-06-01,70.84,81.32,141,1477.6799999999985,14.793901750423476
FIVE,2022-12-01,2023-06-01,168.44,171.19,59,162.25,1.6326288292566993
PERI,2022-12-01,2023-06-01,27.26,30.36,366,1134.5999999999992,11.371973587674233
LGND,2022-12-01,2023-06-01,70.28,70.47,142,26.979999999999677,0.27034718269778324
CROX,2022-12-01,2023-06-01,98.62,105.85,101,730.229999999999,7.331170148042987
MGNI,2023-02-01,2023-06-01,12.05,12.21,829,132.64000000000013,1.327800829875514
IDXX,2023-03-01,2023-06-01,469.25,460.62,21,-181.2299999999999,-1.8391049547149652
TRUE,2023-04-01,2023-06-01,2.34,2.31,4273,-128.18999999999917,-1.2820512820512775
CRUS,2023-04-01,2023-06-01,108.78,76.81,91,-2909.27,-29.389593675307957
FOXF,2023-04-01,2023-06-01,119.95,89.74,83,-2507.4300000000007,-25.18549395581493
BRKR,2023-04-01,2023-06-01,77.84,70.37,128,-956.1599999999999,-9.596608427543673
CRMD,2023-05-01,2023-06-01,4.67,4.86,2141,406.7900000000008,4.068522483940051
LRMR,2023-05-01,2023-06-01,4.64,3.57,2155,-2305.8499999999995,-23.06034482758621
MASI,2023-05-01,2023-06-01,189.62,156.55,52,-1719.6399999999996,-17.440143444784304
ADMA,2022-03-01,2023-07-01,1.58,3.74,6329,13670.640000000001,136.7088607594937
HROW,2022-09-01,2023-07-01,9.23,17.71,1083,9183.84,91.87432286023835
ARDX,2022-11-01,2023-07-01,1.47,3.28,6802,12311.619999999999,123.12925170068026
SMMT,2023-01-01,2023-07-01,4.65,2.77,2150,-4042.000000000001,-40.43010752688172
PATK,2023-04-01,2023-07-01,44.57,51.88,224,1637.4400000000005,16.401166704061044
ASML,2023-04-01,2023-07-01,672.04,713.08,14,574.5600000000011,6.106779358371539
RIGL,2023-05-01,2023-07-01,11.33,13.9,882,2266.7400000000002,22.683142100617836
RPD,2023-06-01,2023-07-01,47.21,43.95,211,-687.8599999999996,-6.905316670196992
NSSC,2023-06-01,2023-07-01,38.09,34.09,262,-1048.0,-10.50144394854292
IOVA,2023-06-01,2023-07-01,8.6,7.12,1162,-1719.7599999999995,-17.209302325581387
WING,2022-10-01,2023-08-01,123.64,168.91,80,3621.5999999999995,36.61436428340343
PACB,2022-11-01,2023-08-01,8.91,13.06,1122,4656.3,46.57687991021324
MELI,2023-02-01,2023-08-01,1210.59,1219.31,8,69.76000000000022,0.7203099315209904
NEON,2023-02-01,2023-08-01,9.4,4.09,1063,-5644.530000000001,-56.48936170212766
Z,2023-04-01,2023-08-01,43.94,53.72,227,2220.0600000000004,22.25762403277196
EHTH,2023-04-01,2023-08-01,8.9,7.48,1123,-1594.6599999999999,-15.955056179775283
ZG,2023-04-01,2023-08-01,43.16,52.7,231,2203.7400000000016,22.10379981464321
CDZI,2023-04-01,2023-08-01,4.01,4.1,2493,224.36999999999964,2.244389027431426
POET,2023-05-01,2023-08-01,3.88,4.08,2577,515.4000000000004,5.154639175257736
KALV,2023-05-01,2023-08-01,8.45,9.99,1183,1821.820000000001,18.224852071005927
OCUL,2023-05-01,2023-08-01,6.33,4.38,1579,-3079.05,-30.805687203791475
TBCH,2023-05-01,2023-08-01,10.59,10.71,944,113.28000000000094,1.1331444759207
NGNE,2023-05-01,2023-08-01,17.85,12.66,560,-2906.4000000000005,-29.075630252100847
PDFS,2022-12-01,2023-09-01,30.92,36.04,323,1653.759999999999,16.558861578266495
ATEC,2022-12-01,2023-09-01,9.86,16.09,1014,6317.22,63.184584178498994
IPAR,2023-01-01,2023-09-01,97.51,139.47,102,4279.919999999999,43.03148395036405
BLBD,2023-02-01,2023-09-01,14.7,21.98,680,4950.400000000001,49.523809523809526
NSIT,2023-03-01,2023-09-01,133.99,159.8,74,1909.94,19.26263153966714
FEIM,2023-04-01,2023-09-01,5.59,5.52,1788,-125.16000000000051,-1.2522361359570744
MYRG,2023-05-01,2023-09-01,125.0,141.86,80,1348.800000000001,13.48800000000001
OMER,2023-05-01,2023-09-01,5.66,3.62,1766,-3602.64,-36.042402826855124
AUPH,2023-05-01,2023-09-01,11.07,9.07,903,-1806.0,-18.06684733514001
ANGI,2023-06-01,2023-09-01,32.07,23.24,311,-2746.1300000000006,-27.533520424072343
LNTH,2023-06-01,2023-09-01,89.1,67.12,112,-2461.759999999999,-24.66891133557799
MPWR,2023-06-01,2023-09-01,508.35,514.17,19,110.57999999999879,1.1448804957214342
MVIS,2023-06-01,2023-09-01,4.84,2.48,2066,-4875.759999999999,-48.7603305785124
VCEL,2023-06-01,2023-09-01,33.18,32.95,301,-69.22999999999905,-0.6931886678722021
HROW,2023-08-01,2023-09-01,22.5,15.36,444,-3170.1600000000003,-31.733333333333334
ARCB,2023-08-01,2023-09-01,122.01,106.6,81,-1248.210000000001,-12.630112285878214
UPBD,2023-08-01,2023-09-01,35.01,30.47,285,-1293.8999999999999,-12.967723507569263
FTNT,2023-08-01,2023-09-01,77.03,60.53,129,-2128.5,-21.42022588601843
AAON,2023-08-01,2023-09-01,69.36,62.76,144,-950.4000000000002,-9.515570934256058
VKTX,2022-11-01,2023-10-01,4.36,10.77,2293,14698.129999999997,147.01834862385317
RMBS,2022-11-01,2023-10-01,31.24,53.57,320,7145.6,71.47887323943662
SHOP,2023-02-01,2023-10-01,50.92,50.67,196,-49.0,-0.4909662215239585
INOD,2023-03-01,2023-10-01,7.26,7.99,1377,1005.2100000000006,10.05509641873279
ALGN,2023-04-01,2023-10-01,311.69,296.62,32,-482.2399999999998,-4.834932144117554
AMD,2023-04-01,2023-10-01,98.91,97.51,101,-141.39999999999912,-1.415428167020516
MSFT,2023-08-01,2023-10-01,336.36,310.14,29,-760.3800000000008,-7.795219407777387
AAPL,2023-08-01,2023-10-01,195.67,171.66,51,-1224.5099999999995,-12.270659784330762
NVMI,2023-09-01,2023-10-01,128.16,108.71,78,-1517.1000000000001,-15.176342072409488
TBCH,2023-09-01,2023-10-01,10.72,8.94,932,-1658.960000000001,-16.604477611940304
NFLX,2023-09-01,2023-10-01,43.27,36.91,231,-1469.1600000000014,-14.698405361682475
AVDL,2022-11-01,2023-11-01,6.4,9.68,1562,5123.359999999999,51.24999999999999
ATRO,2023-02-01,2023-11-01,15.86,15.04,630,-516.6000000000001,-5.170239596469106
RDNT,2023-05-01,2023-11-01,27.97,25.88,357,-746.13,-7.472291741151238
EYPT,2023-06-01,2023-11-01,6.11,5.91,1636,-327.2000000000003,-3.2733224222585955
ONCY,2023-07-01,2023-11-01,2.71,1.53,3690,-4354.2,-43.542435424354245
ON,2023-08-01,2023-11-01,104.19,68.13,95,-3425.7000000000003,-34.6098473941837
VICR,2023-09-01,2023-11-01,67.44,37.14,148,-4484.4,-44.928825622775804
PGEN,2023-09-01,2023-11-01,1.82,1.05,5494,-4230.38,-42.3076923076923
ISRG,2023-09-01,2023-11-01,309.13,261.77,32,-1515.5200000000004,-15.320415359233985
KALV,2023-09-01,2023-11-01,10.91,8.06,916,-2610.5999999999995,-26.122823098075155
NGNE,2023-09-01,2023-11-01,14.72,13.47,679,-848.75,-8.491847826086952
CRNT,2023-10-01,2023-11-01,2.02,1.68,4950,-1683.0000000000005,-16.831683168316836
UPBD,2023-10-01,2023-11-01,29.12,24.99,343,-1416.5900000000008,-14.182692307692314
APLD,2023-01-01,2023-12-01,1.88,4.96,5319,16382.52,163.82978723404258
DMRC,2023-06-01,2023-12-01,30.94,33.3,323,762.2799999999987,7.627666451195858
MRVL,2023-06-01,2023-12-01,61.44,55.12,162,-1023.84,-10.286458333333337
EXPI,2023-07-01,2023-12-01,19.78,12.55,505,-3651.15,-36.5520728008089
TSLA,2023-07-01,2023-12-01,256.71,242.17,38,-552.5199999999998,-5.663978808772541
AMTX,2023-07-01,2023-12-01,6.27,4.58,1594,-2693.859999999999,-26.953748006379573
EXTR,2023-08-01,2023-12-01,27.18,16.27,367,-4003.9700000000003,-40.13980868285504
GOOGL,2023-09-01,2023-12-01,135.26,135.26,73,0.0,0.0
GLDD,2023-09-01,2023-12-01,8.8,6.88,1136,-2181.120000000001,-21.818181818181827
GOOG,2023-09-01,2023-12-01,136.37,136.68,73,22.630000000000166,0.2273227249395049
SPNS,2023-09-01,2023-12-01,29.4,25.53,340,-1315.799999999999,-13.16326530612244
LITS,2023-09-01,2023-12-01,3.76,6.32,2659,6807.040000000001,68.08510638297874
VRSK,2023-10-01,2023-12-01,238.91,241.29,41,97.57999999999981,0.9961910342806801
PTEN,2023-10-01,2023-12-01,14.15,11.74,706,-1701.46,-17.03180212014135
EHTH,2023-11-01,2023-12-01,8.16,7.7,1225,-563.5,-5.6372549019607865
FLEX,2023-11-01,2023-12-01,18.87,19.53,529,349.1400000000001,3.497615262321152
INOD,2023-11-01,2023-12-01,7.18,6.41,1392,-1071.8399999999995,-10.7242339832869
NVDA,2023-03-01,2024-01-01,22.93,49.8,436,11715.32,117.18273004797206
