date,value,cash,positions,invested,peak,dd,year
2024-06-01,3264316.3999999957,1997504.9699999962,73,1266811.4299999997,4143984.0300000007,-21.227582530041865,2024
2024-07-01,3252447.279999997,2125645.859999997,68,1126801.42,4143984.0300000007,-21.514000622246694,2024
2024-08-01,3222198.389999997,2262030.7499999967,67,960167.6400000001,4143984.0300000007,-22.24394769204754,2024
2024-09-01,3323058.6399999973,2328834.589999997,63,994224.0500000002,4143984.0300000007,-19.810051970687816,2024
2024-10-01,3390709.0699999975,2359590.0399999972,67,1031119.0300000001,4143984.0300000007,-18.17755460799889,2024
2024-11-01,3389389.7699999977,2363623.5299999975,67,1025766.24,4143984.0300000007,-18.209391120650697,2024
2024-12-01,3516648.8499999973,2354131.2199999974,68,1162517.63,4143984.0300000007,-15.138455540814508,2024
2025-01-01,3453414.8499999978,2419169.739999998,70,1034245.1100000001,4143984.0300000007,-16.664378409778834,2025
2025-02-01,3490978.799999998,2409024.729999998,73,1081954.07,4143984.0300000007,-15.757908941555518,2025
2025-03-01,3405745.489999997,2538985.769999997,64,866759.7199999996,4143984.0300000007,-17.814705236689914,2025
2025-04-01,3312605.8999999966,2592950.7699999968,64,719655.1299999997,4143984.0300000007,-20.062290877120102,2025
2025-05-01,3297586.1599999983,2527756.159999998,69,769830.0000000002,4143984.0300000007,-20.42473773722536,2025
2025-06-01,3354948.9099999974,2565036.2999999975,67,789912.61,4143984.0300000007,-19.04049615751061,2025
2025-07-01,3406629.4899999965,2546924.1599999964,68,859705.3300000001,4143984.0300000007,-17.793373108148877,2025
2025-08-01,3429753.559999997,2569200.909999997,71,860552.6499999999,4143984.0300000007,-17.235357685488083,2025
2025-09-01,3489096.719999997,2673103.029999997,63,815993.6899999997,4143984.0300000007,-15.803326104999583,2025
2025-10-01,3516862.1999999965,2646461.7199999965,64,870400.4799999999,4143984.0300000007,-15.133307113637795,2025
2025-11-01,3535499.5799999963,2664676.5199999963,63,870823.0599999999,4143984.0300000007,-14.683561654555996,2025
