date,value,cash,positions,peak,dd,month,year
2022-03-08,2344357.030000004,2239122.940000004,9,2371704.380000002,-1.153067398728597,2022-03,2022
2022-03-09,2345280.1400000043,2239122.940000004,9,2371704.380000002,-1.1141456002201198,2022-03,2022
2022-03-10,2346143.8800000045,2199189.7000000044,13,2371704.380000002,-1.077727064786955,2022-03,2022
2022-03-11,2347193.0300000045,2199189.7000000044,13,2371704.380000002,-1.0334909446006817,2022-03,2022
2022-03-14,2345534.2400000044,2199189.7000000044,13,2371704.380000002,-1.103431786047373,2022-03,2022
2022-03-15,2343303.3200000045,2199189.7000000044,13,2371704.380000002,-1.1974957857099249,2022-03,2022
2022-03-16,2341328.480000004,2209808.4100000043,12,2371704.380000002,-1.280762486933469,2022-03,2022
2022-03-17,2341143.6200000043,2209808.4100000043,12,2371704.380000002,-1.2885568816126185,2022-03,2022
2022-03-18,2341509.5700000045,2209808.4100000043,12,2371704.380000002,-1.273127049670402,2022-03,2022
2022-03-21,2341701.440000004,2209808.4100000043,12,2371704.380000002,-1.2650370869576104,2022-03,2022
2022-03-22,2341873.8000000045,2198706.9900000044,13,2371704.380000002,-1.2577697394140546,2022-03,2022
2022-03-23,2343608.3100000042,2198706.9900000044,13,2371704.380000002,-1.1846362572386844,2022-03,2022
2022-03-24,2345667.640000005,2188775.6700000046,14,2371704.380000002,-1.0978071390160946,2022-03,2022
2022-03-25,2347237.3500000047,2188775.6700000046,14,2371704.380000002,-1.0316222462766396,2022-03,2022
2022-03-28,2348319.5400000047,2188775.6700000046,14,2371704.380000002,-0.985993035101512,2022-03,2022
2022-03-29,2349847.1900000046,2188775.6700000046,14,2371704.380000002,-0.9215815505639703,2022-03,2022
2022-03-30,2351289.5300000045,2188775.6700000046,14,2371704.380000002,-0.8607670573175628,2022-03,2022
2022-03-31,2351690.9400000046,2178780.7900000047,15,2371704.380000002,-0.8438420980610407,2022-03,2022
2022-04-01,2351646.6700000046,2178780.7900000047,15,2371704.380000002,-0.8457086881965288,2022-04,2022
2022-04-04,2351037.110000005,2168790.970000005,16,2371704.380000002,-0.8714100363552562,2022-04,2022
2022-04-05,2350316.2500000047,2168790.970000005,16,2371704.380000002,-0.901804212209514,2022-04,2022
